"","Title","Location","Plaque.text.Description","Agriculture","Archaeology","Artsculture","Blackheritage","Buildingsstructures","Communities","Disasters","Education","Environment","Exploration","FirstNations","Franco","Furtrade","Industry","Organizations","People","Politics","Religion","Scientific","Sports","Transportation","Warconflict","Womenhist","Region","County.District","Municipality","Latitude","Longitude"
"251","Dr. Augusta Stowe Gullen 1857-1943","On the grounds of the public school on Mount Pleasant Road, Mount Pleasant","Canada's first woman graduate in medicine was born in Mount Pleasant. She attended the Toronto School of Medicine, received her degree from Victoria University in 1883, and was licensed to practise. Her mother, Dr. Emily Howard Stowe, had graduated in New York State in 1868, and after a prolonged struggle for recognition had been licenced to practise medicine in 1880, thus becoming Canada's first woman doctor. Both were ardent feminists, and devoted themselves to the advancement of women in education and public life. Dr. Emily Stowe organized the Canadian movement for female suffrage, and under her daughter's leadership, women in Ontario received the franchise in 1917.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"Southwestern Ontario","County of Brant (District)","County of Brant",43.08201486,-80.31229329
"252","Dr. Charles Duncombe 1791-1867","At the Elgin County Pioneer Museum, 32 Talbot Street, St.
Thomas","This house was built in 1848 by Dr. Elijah Duncombe, brother of Dr. Charles Duncombe. The latter, born in Connecticut, came to Upper Canada in 1819 and settled on this property shortly thereafter. In 1824, with Dr. John Rolph, he opened at St.
Thomas the province's first medical school, named ""The Talbot Dispensatory"" in honour of Col. Thomas Talbot. Charles Duncombe later moved to Burford Township and in 1830, was elected to the legislature as a Reform member for Oxford. An ardent supporter of William Lyon Mackenzie, he raised an insurgent force during the Rebellion of 1837, which was dispersed by loyal militia. Duncombe then fled to the United States where he remained until his death.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"Southwestern Ontario","County of Elgin","City of St. Thomas",42.77869196,-81.20950251
"253","Dr. Henry Norman Bethune 1890-1939","At his birthplace, now a museum, 235 John Street, Gravenhurst","An internationally famed humanitarian, surgeon and revolutionary, Bethune was born in this house. He graduated from the University of Toronto's medical school during the First World War and saw extensive service in that conflict. While at Montreal's Royal Victoria Hospital 1929-1933, he gained widespread recognition as a thoracic surgeon. Increasing concern with social and political issues took him to Spain in 1936, where he organized Canadian medical aid for the Loyalist troops and set up the world's first mobile blood transfusion unit. Two years later, he went to China and until his death, worked tirelessly as a surgeon and medical adviser with the 8th Route National Revolutionary Army. He is buried in the Mausoleum of Martyrs, Shih Cha Chuang, China.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"Central Ontario","District Municipality of Muskoka","Town of Gravenhurst",44.92044981,-79.37613049
"254","Dr. James Naismith 1861- 1939","At his childhood home, Highway 15, just north of Clayton Road, about 4.5 km northwest of Almonte","This is the boyhood home of James Naismith, the inventor of basketball. Born in a house that formerly stood on this lot, he entered McGill University in 1883, where he was active in athletics. In 1890, Naismith graduated in theology from Presbyterian College, Montreal, and subsequently enrolled at the International YMCA Training School (now Springfield College) in Massachusetts. There was a need for a competitive team sport that could be played indoors during the winter months and, there, in December 1891, Naismith devised a game played under thirteen basic rules, with a ball and two round baskets. He directed physical education at the University of Kansas for thirty-six years and died at Lawrence, Kansas.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"Eastern Ontario","County of Lanark","Town of Mississippi Mills",45.24172339,-76.23175735
"255","Dr. Lorne Pierce 1890- 1961","On the grounds of the United Church in Delta - Highway 42, west of Athens","Editor of The Ryerson Press 1920-1960, Pierce was born at Delta and devoted his life to the promotion of Canadian literature. He established scholarships at several Canadian universities and, in 1926, presented the Royal Society of Canada's Lorne Pierce Medal for distinguished authorship by a Canadian. He edited the ""Makers of Canadian Literature"" and the ""Ryerson Poetry Chap-books."" His writings include: ""An Outline of Canadian Literature"" (1927); ""A Canadian People"" (1945); ""A Canadian Nation"" (1960); and studies of Albert Durrant Watson (1924), Marjorie Pickthall (1925) and William Kirby (1929). In 1924, he established at Queen's University the Edith and Lorne Pierce Collection of Canadian Literature, one of the best of its kind in Canada.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Eastern Ontario","United Counties of Leeds and Grenville","Township of Athens",44.61130387,-76.12222332
"256","Dr. Mahlon W. Locke 1880-1942","In front of the house which served as his office, County Road 18 - just east of Highway 31, Williamsburg","Born in nearby Matilda Township, Locke studied medicine at Queen's University and in Scotland. In 1908, he opened his medical office in this house. Interested in arthritis, which he believed was caused principally by fallen arches, he treated many arthritics in the following years by manual manipulation of their feet. Large numbers of his patients claimed to be cured or relieved by this method, and his reputation spread thought North America and overseas. From 1928 onwards, thousands of the sick visited Dr. Locke in Williamsburg, where he reportedly treated hundreds of persons daily. During the depression years, this enormous influx brought significant prosperity to the region.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,"Eastern Ontario","United Counties of Stormont, Dundas and Glengarry","Township of South Dundas",44.97536192,-75.24304057
"257","Dr. Robert Hamilton Coats 1874-1960","On the grounds of Central Huron Secondary School, 165 Princess Street East, Clinton","Born near here, Coats was educated locally and graduated in 1896 from the University of Toronto. In 1902, Mackenzie King, then Deputy Minister of Labour, persuaded Coats to become editor of the Labour Gazette. In this position, he became convinced of the need for reliable government statistics. In 1915, he was appointed Canada's first Dominion Statistician and Controller of the Census. Coats drafted the legislation that established the Dominion Bureau of Statistics three years later. Twice a member of statistical committees with the League of Nations, he also served, after retiring in 1942, as a statistical advisor to the Ontario Government and to the United Nations. Coats was honoured by three Canadian universities and was a member of many foreign statistical societies.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Southwestern Ontario","County of Huron","Municipality of Central Huron",43.61738015,-81.53461379
"258","Dreamer's Rock","At the rock, Whitefish River First Nation, Birch Island Lodge Road, east off Highway 6 about 12 km northeast of Little Current","This tall quartzite rock derives its name from a local Indian tradition that it was used for dream visitation. On reaching puberty, Indian boys of the surrounding area were sent to the summit where they fasted and, through dreams, received powers from a ""guardian spirit"". The spirit would also advise them of their calling. Shaw-wan-ossy-way, a famous chief and medicine man of the early 1800s, is reported to have acquired his healing powers after several visits to this rock where he lay in the shallow five-foot depression at the summit. Little used after the arrival of the Europeans, ""Dreamer's Rock"", with its incomparable view of the surrounding countryside, stands as a reminder of ancient Indian beliefs.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Northern Ontario","District of Manitoulin","Whitefish River First Nation",NA,NA
"259","Dufferin County Court House","At the court house, 51 Zina Street, Orangeville","Construction of this imposing brick court house was begun in the spring of 1880. Designed by C.J. Soule, a Guelph architect, it was built by the contracting firm of Dobbie and Grierson.
Although the first provisional county council meeting was held here on November 24, 1880, the two-storey rectangular building constructed to house the judicial and administrative office of the newly created county of Dufferin was not completed until early 1881. Its impressive exterior is distinguished by a prominent central tower, projecting gable ends, irregular roof treatment and decorative white brick. Except for the addition of a new wing in 1973, the building remains largely unaltered and still serves as the centre for the administration of justice in the county.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Greater Toronto Area","County of Dufferin","Town of Orangeville",43.91930094,-80.10279139
"260","Duncan Cameron","On the grounds of St. Andrew's Presbyterian Church, Church Street West, Williamstown","Born in Scotland about 1764, he settled with his parents in Schenectady, New York. His father served with a Loyalist regiment during the American Revolution, following which the family moved to Glengarry. In 1784, Duncan entered the North West Company where, as manager of its Red River Department, he endeavoured to persuade Lord Selkirk's settlers to abandon their lands. When Selkirk's forces attacked Fort Gilbraltar in 1816, Cameron was captured and taken to  England. Released and compensated for false arrest, he
returned to Williamstown in 1820. He died in 1848 and is buried here.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Eastern Ontario","United Counties of Stormont, Dundas and Glengarry","Township of South Dundas",45.14667809,-74.57744705
"261","Duncombe's Uprising 1837","At the corner of Talbot and Simcoe streets, Scotland","Dr. Charles Duncombe (1791-1867), prominent physician and politician, was leader of the militant reform movement in the London District at the time of the Rebellion of 1837. He rallied the local ""Patriots"" at the settlement of Scotland, planning to move against Brantford and Hamilton and join forces with William Lyon MacKenzie. On December 13, 1837, word was received of the latter's defeat at Montgomery's Tavern and Col. Allan McNab's approach with a strong Loyalist force.
Disheartened, Duncombe's followers dispersed during the night and he fled to the United States.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,"Southwestern Ontario","County of Brant (District)","County of Brant",43.02463547,-80.37508982
"262","Dundas Mills","On the grounds of the House of Providence, Governor's Road and Ogilvie Street near the site of the former mills, Dundas","By 1799, the Morden family had a sawmill near this site on Spencer Creek north of Dundas Street. They sold this property in 1800 to Edward Peer, who built a grist-mill about 300 yards southeast, close to Dundas Street, and adopted the name ""Dundas Mills."" Peer sold the property in 1804 to Richard and Samuel Hatt and a partner, but by 1807 Richard had become sole owner. Then, or slightly earlier, Richard Hatt built northwest of Peer's grist-mill the tall stone flour mill that stood near this site until 1968. The other mills were destroyed long before. The community of ""Dundas Mills"" became part of the town of Dundas in 1847.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Southwestern Ontario","City of Hamilton (District)","City of Hamilton",43.26252997,-79.95533442
"263","Dundas Town Hall","On the grounds of the town hall, 60 Main Street, Dundas","Dundas was incorporated as a town in 1847 by a special Act of the legislature of the Province of Canada. The following year, the town council accepted a tender from a local builder, James Scott, to erect a stone town hall and voted £2,000 to cover the cost. Designed in a version of Roman classic by Francis Hawkins of Dundas, the building was completed by July 1849, and was said to have cost £2,500. Except for a small Italianate wing added later, the exterior has been little altered, although a thorough renovation was carried out in 1946. It is one of the most handsome, pre-1850, municipal buildings surviving in Ontario.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Southwestern Ontario","City of Hamilton (District)","City of Hamilton",43.26373058,-79.9524246
"264","Dundurn Castle 1832","On the grounds of the castle, now a museum, Dundurn Park, Dundurn Street and York Boulevard, Hamilton","This mansion was built 1832-35 by Allan Napier MacNab (1798- 1862) and named after the family ancestral seat in Scotland.
Enlisting at fifteen, MacNab distinguished himself by his bravery in the War of 1812. He subsequently entered politics and was noted for this support of the Family Compact. During the Rebellion of 1837 he was one of the government's most active military supporters and was knighted for his services. Leader of the Tory-Conservatives, MacNab was speaker of the Legislative Assembly on several occasions and Prime Minister of Canada 1854-56.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Southwestern Ontario","City of Hamilton (District)","City of Hamilton",43.26953499,-79.88542094
"265","Durham Road, The","At the entrance to the Durham Conservation Area, Durham Road, 1.5 km east of Highway 6","When the Durham Road was surveyed in 1848-49, it crossed the earlier Owen Sound Road at the village of Durham and was given that name. Laid out from east to west through the ""Queen's Bush"" in the old Wellington District, it crosses Grey and Bruce counties and is now followed from Kincardine to beyond Greenock by Highway 9 and from Walkerton to Priceville by Highway 4. The road was opened in sections between 1849-51. Allocation of free 50-acre lots along its course began in September 1841, and was well advanced by 1851. Villages soon formed along the route, which became a model for later colonization roads.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Southwestern Ontario","County of Grey","Township of West Grey",44.18458463,-80.79604791
"266","Dutch Settlement of Holland Marsh, The","Near the old schoolhouse, Concession Road 3, Ansnorveldt - west of Newmarket","The Holland Marsh consists of 7,000 acres of reclaimed land in the Schomberg River Valley. Named after an early provincial official, this fertile area was drained between 1925 and 1930.
John Snor, Canadian Representative of the Netherlands Emigration Foundation, visited the sparsely settled Marsh and proposed the relocation here of recent Dutch immigrants in Ontario. Assisted by grants from the Netherlands, Canada and Ontario, fifteen Dutch families, many from Friesland and Groningen originally, settled on the Marsh in 1934 and formed the nucleus of the community of Ansnorveldt. Later, Dutch farmers settled throughout the Marsh. Through skilled farming practice and co-operative management, the Dutch were the first group successfully to develop the Marsh as one of Ontario's most important vegetable growing districts.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater Toronto Area","Regional Municipality of York","Township of King",44.07999863,-79.53837579
"268","E. Pauline Johnson","At her birthplace, Chiefswood, now a museum, on the Six Nations of the Grand River First Nation, Highway 54, Onondaga","In this house ""Chiefswood"", erected about 1853, was born the Mohawk poetess Emily Pauline Johnson (Tekahionwake). Her father, Chief G.H.M. Johnson a greatly respected leader of the Six Nations, built ""Chiefswood"" as a wedding gift for her English mother, a cousin of the well-known American novelist William Dean Howells. By her writing and dramatic recitals from her own works in Great Britain and throughout North America, Pauline made herself the voice of the Indian race in the English-tongue. No book of poetry by a Canadian has outsold her collected verse, ""Flint and Feather"".",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"Southwestern Ontario","County of Brant (District)","Onondaga",43.09986339,-80.09541726
"269","Early Settlement in Erin Township","At the Ballinafad Cemetery, in the vicinity of the earliest settlement in the area, County Road 24, Ballinafad","Erin Township was formed from land purchased by the Crown from the Mississauga Indians in 1818. It was surveyed in 1818 and in 1820-21. A few grantees, including three named Roszel, settled near the site of Ballinafad by 1820. Other settlers came in 1821-27. By 1828 Aaron Wheller had built a grist mill on the site of Hillsburgh, where Nazareth Hill later established a village. Another settlement formed near the site of Erin village where a sawmill was in operation by 1828 and a grist mill by 1829.
These mills were acquired and rebuilt by Daniel McMillan and in 1839 ""Erin"" post office was opened at ""McMillan's Mills"". In 1841 the township contained 1,368 persons.",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Southwestern Ontario","County of Wellington","Town of Erin",43.69614844,-80.01263062
"270","Ebenezer Allan 1752-
1813","In the municipal park, County Road 3 and Wellington Street, Delaware","Born in New Jersey, Allan joined the Loyalist forces in 1777 and served with Butler's Rangers and the Indian Department during the American Revolution. The founder of Rochester, N.Y., he moved to Upper Canada in 1794 and obtained 2,000 acres of land in this area. That year he built a grist-mill around which grew the community of Delaware. Allan became involved in bitter disputes with the authorities over his land transactions, and at the outbreak of the War of 1812, joined the Americans. While engaged in spreading disaffection among the local settlers, he was arrested and imprisoned. Released early in 1813, he died shortly thereafter.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Southwestern Ontario","County of Middlesex","Township of Middlesex Centre",42.908145,-81.421104
"271","Edison Homestead, The","On the grounds of the former homestead, near Otter Creek, Highway 19, southwest of Vienna","On this site stood the home of Samuel Edison, a Loyalist from New Jersey who had moved to Nova Scotia in 1783 and settled here in 1811. During the War of 1812, he served as a captain in the 1st Middlesex Militia. Tradition maintains that this community was named Vienna at his suggestion. One of his sons, Samuel Jr., supported the reform movement in Upper Canada, and after taking part in the Rebellion of 1837, fled to the United States. He settled in Milan, Ohio where, on February 11, 1847, his son, the noted inventor Thomas Alva Edison, was
born. As a boy, Thomas Edison visited his grandfather here in Vienna.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Southwestern Ontario","County of Elgin","Municipality of Bayham",42.67671453,-80.79242687
"272","Edith Kathleen Russell 1886-1964","An interior wall plaque located outside the Kathleen Russell conference room at the Lawrence S. Bloomberg Faculty of Nursing, 155 College Street, 2nd floor, University of Toronto, Toronto","A distinguished Canadian educator, Kathleen Russell was born in Windsor, Nova Scotia. She graduated in 1918 from the Toronto General Hospital School of Nursing and, in 1920, became first director of the University of Toronto's Department of Public Health Nursing, established to prepare personnel for the expanding field of public health service. An outspoken advocate of progressive reform in nursing education, she soon became dissatisfied with the inadequate training provided at many Canadian hospitals. As head of the School of Nursing, founded at the University in 1933, she developed an internationally recognized programme of comprehensive  nursing education at the university level. In 1949 Kathleen Russell received the Florence Nightingale Medal, the Red Cross Society's highest nursing award, for her outstanding contribution to nursing education.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.6590884,-79.392784
"273","Edward Johnson 1878-
1959","In Riverside Park near the site of his former home, Woolwich Street, Guelph","Edward Johnson, one of the world's leading operatic tenors, was born in Guelph and lived for many years in a house that stood near this site. He studied in Italy and made his European debut in 1912 at Padua. During eight seasons, he performed leading roles in Rome and at La Scala Theatre, Milan and, following extensive tours of Europe and South America, he joined the Chicago Opera Company in 1920. He became a principle member of the Metropolitan Opera Company, New York in 1922, and from 1935-50 was general manager of the Metropolitan Opera Association. For many years, he was also chairman of the Royal Conservatory of Music in Toronto. On retirement, he devoted his time to the encouragement of young Canadian artists.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Southwestern Ontario","County of Wellington","City of Guelph",43.56175264,-80.27222948
"274","Eildon Hall","On the grounds of the hall, now a museum, Sibbald Point Provincial Park, northeast of Sutton","One of the oldest structures in the area, this interesting house was the first Canadian residence of Susan Mein Sibbald (1783- 1866), a gentlewoman pioneer whose memoirs were published posthumously in 1926. The building was erected in stages and revealed much about the changing needs and aspirations of its various owners. Initially a small Regency style cottage, it was begun in 1830 by William Kingdom Rains, an early settler, and acquired around 1835 by Susan Sibbald. Named Eildon Hall after her family home in Scotland, it was expanded and transformed into an extensive rural manor. The estate remained in the Sibbald family until 1952. Renovated and reduced in size since then, Eildon Hall is open to the public as the Sibbald Memorial Museum.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater Toronto Area","Regional Municipality of York","Sibbald Point Provincial Park",44.33421566,-79.32643754
"275","Eileen Vollick 1908-1968","Near the entrance to Hamilton Civic Airport, off Airport Road, Mount Hope","Canada's first licensed woman pilot, Eilleen Vollick was born in Wiarton and cam to Hamilton about 1911. She was fascinated by aviation and in 1927 enrolled in the flying school established near her home on Hamilton Bay by Jack V Elliot, a Hamilton businessman and pioneer in Canadian commercial aviation.
The spirited Eilleen Vollick devoted her spare time to flying and soon mastered the school's Curtiss JN-4 training aircraft. On March 13, 1928, she passed the federal aviation test and nine days later she was issued a private pilot's certificate. This significant achievement opened Canada aviation to women and many became listed pilots, and participants in various airshows and special flights through-out Canada. From 1929 Eilleen live in New York where she died.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Southwestern Ontario","City of Hamilton (District)","City of Hamilton",43.15924579,-79.92563827
"276","Eldon House","At the house, 481 Ridout Street North, London","Built in 1834 by Capt. John Harris, R.N., treasurer of the London District, this is London's oldest remaining house. With his wife, Amelia, daughter of Samuel Ryerse, Harris came to London after the District Offices were moved here from Vittoria. For many years, Eldon House was a centre of London's cultural and social life, and four generations of the Harris family dwelt in it during more than 125 years. In 1960, the family gave the house with most of its furnishings and eleven acres of land, to the City of London for a museum and park.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Southwestern Ontario","County of Middlesex","City of London",42.9845688,-81.25516447
"277","Eldorado Refinery, The","At Eldorado Resources Limited, 1 Eldorado Place, Port Hope","A pioneering operation in the development of nuclear energy, the Eldorado refinery was established in 1933 by Gilbert LaBine, a veteran prospector, and his brother Charles. It extracted radium, used in the early treatment of cancer, from ore mined in the Northwest Territories. In 1942, soon after the uranium atom was split for the first time, the Canadian government acquired Eldorado to refine uranium oxide, a waste product in the radium extraction process. The only operation of its kind in North America, it supplied uranium for American nuclear research during the Second World War. In 1944, this important industry was made a crown corporation. Since 1965, it has concentrated on energy markets, processing uranium to fuel reactors throughout the world in the production of electricity.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Central Ontario","County of Northumberland","Municipality of Port Hope",43.94299756,-78.29481754
"278","Elisabeth Bruyère 1818-
1876","In front of the Chapel of the Sisters of Charity, 25 Bruyère Street, Ottawa","In the 1840s, Bytown (Ottawa) was a growing timber-trade village with a substantial French-Canadian population but no Catholic schools and few social services. In February of 1845 the Sisters of Charity of Montreal (Grey Nuns) sent four nuns here. Led by Élisabeth Bruyère, a devout, well-educated young woman, the sisters quickly established a bilingual school for girls, a hospital and an orphanage. They helped the poor, the elderly and the sick, including hundreds of immigrants stricken during the typhus epidemics of 1847-48. By the time of Bruyère's death the Sisters of Charity of Ottawa had founded key local institutions and extended their services to sixteen other communities in Canada and the U.S.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,"Ottawa","City of Ottawa (District)","City of Ottawa",45.43158763,-75.69734859
"279","Elise von Koerber and Swiss Settlement","In Centennial Park, in the vicinity of the former Swiss settlement, off Highway 520, Magnetawan","In 1873 a small group of Swiss immigrants arrived in the Parry Sound District and formed the basis for a Swiss colony. The settlement was organized and directed by Elise von Koerber, a native of Baden, Germany, who had been living in Canada for some sixteen years. Appointed immigration agent by the federal government in 1872, she actively promoted immigration as an outlet for poor and socially dislocated persons and by 1877 had brought several hundred Swiss to Canada. With her encouragement and assistance many of these settled in her colony in Parry Sound. Most of the German-speaking settled at Magnetawan while the French-speaking chose the Doe Lake area. Although the hardships of settlement discouraged many, in 1881 about 200 Swiss remained in this region.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Northern Ontario","District of Parry Sound","Township of Magnetawan",45.66615,-79.639
"280","Elizabeth Posthuma Simcoe 1766-1850","At the entrance to Castle Frank High School near the site of the former Simcoe summer house, 711 Bloor Street East at Castle Frank Road, Toronto","The wife of the first Lieutenant-Governor of Upper Canada, Elizabeth Posthuma Gwillim was born at Whitchurch, Herefordshire, England. Orphaned at birth, she lived with her uncle, Admiral Samuel Graves, and subsequently married his god-son, John Graves Simcoe. She accompanied her husband to Upper Canada where she travelled extensively. Her diaries and sketches, compiled during these years, provide a vivid description and invaluable record of the colony's early life. In 1794, near this site, Mrs. Simcoe and her husband erected a summer house which they named ""Castle Frank"" in honour of their son. Returning to England in 1796, Mrs. Simcoe devoted her later years to charitable work. She is buried beside her husband at Wolford Chapel, Devon.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.673902,-79.366332
"282","Elizabeth Rabb Beatty 1856-1939","In front of her former home, Prince and Beatty streets, Lansdowne","One of the earliest Canadian female medical missionaries, Elizabeth Rabb Beatty was born near Caintown and moved to Lansdowne where she attended local schools. She taught in Leeds County before entering Queen's University, Kingston, to study medicine. Graduating in 1884, she was sent by the Presbyterian Women's Foreign Missionary Society to Indore, Central India. Two years later, she was joined by another medical missionary, Dr. Marion Oliver, with whom she co- operated in the opening of a women's hospital in 1891. By winning the confidence of the local population, the doctors helped to lay the foundation of the success of the mission's educational and religious work. Forced to return to Canada because of illness, Dr. Beatty retired in 1892 and lived here until
her death.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,"Eastern Ontario","United Counties of Leeds and Grenville","Township of Leeds and the Thousand Islands",44.40862432,-76.01822674
"283","Elliot Lake Mining Camp, The","At the junction of Highway 108 and Hillside Drive South, Elliot Lake","Evidence of radioactive ore prompted Aimé Breton and Karl Gunterman to stake claims south of here near Lauzon Lake in Long Township in 1948. Geologist Franc R. Joubin became interested and persuaded mining financier Joseph H. Hirshhorn to fund drilling operations. In 1953 they located the ore body that became the Pronto Uranium Mine. The discovery of further uranium deposits near Quirke and Elliot lakes led to a mining boom. The town of Elliot Lake flourished until the U.S. stopped buying Canadian uranium in 1959. By the late 1960s, non- military uses for uranium were being developed, and mining activity revived. By 1970 the Elliot Lake camp had produced uranium oxide worth $1.3 billion.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Northern Ontario","District of Algoma","City of Elliot Lake",46.38220403,-82.64160858
"284","Ellis Wellwood Sifton,
V.C. 1891-1917","At St. Peter's Church in Tyrconnell, southeast of Wallacetown on County Road 8, near John E. Pearce Provincial Park","Born and educated in Wallacetown, Sifton joined the 18th Battalion, Canadian Expeditionary Force, in October 1914. During the Canadian attack on Vimy Ridge on April 9, 1917, his company was held up by the fire of a German machine gun.
Lance-Sergeant Sifton charged it single handed, killed the crew and held the position against enemy counter-attack until his comrades arrived. In carrying out this gallant act, he was killed, but his conspicuous valour undoubtedly saved many lives and contributed largely to the success of the operation. The British Empire's highest award for military valour, the Victoria Cross, was awarded posthumously to Ellis Sifton.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Southwestern Ontario","County of Elgin","Municipality of Dutton- Dunwich",42.6068944,-81.44078834
"285","Emily Ferguson Murphy 1868-1933","On the grounds of Holy Trinity Anglican Church, Victoria Avenue and Selkirk Street, Chatham","A leading Canadian feminist, journalist and reformer, Emily Murphy lived in Chatham from 1890 to 1894 when her husband was rector of this church. In 1916 she was appointed police magistrate for Edmonton. Her authority was challenged by a lawyer who claimed that under the British North America Act women were not legal ""persons"" and could not hold crown appointments. Women's organizations tested the law repeatedly by submitting female candidates for the Senate. All were rejected. Judge Murphy, with four other Alberta feminists, took the ""Persons Case"" to the Judicial Committee of the Privy Council in Britain. That body ruled in 1929 that women were indeed persons. The following year, a woman was appointed to the Senate of Canada.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"Southwestern Ontario","Municipality of Chatham- Kent (District)","Municipality of Chatham- Kent",42.41056194,-82.18936288
"286","Emily Howard Jennings Stowe, M.D. 1831-1903","On the grounds of the Norwich and District Historical Museum and Archives, Highway 59, Norwich","The first female physician to practice medicine in Canada, Emily Jennings was born in Norwich Township to Quaker parents. For some years she taught school, then, in the early l860's she decided to pursue a career in medicine. Refused admission to an exclusively male institution in Toronto, Stowe enrolled in the New York Medical College for women. She received her degree in1867 and, returning to Canada, established a successful practice in Toronto. A passionate advocate for social reform, Stowe campaigned vigorously for increased educational opportunities for women, effectively challenging the right of Canadian universities and medical schools to exclude female students. As first president of the Dominion Women's Enfranchisement Association (l889-1903), she also contributed significantly to the advancement of women's voting rights.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"Southwestern Ontario","County of Oxford","Township of Norwich",42.99532908,-80.59978298
"287","Enoch Turner School 1848, The","At the schoolhouse, now the Enoch Turner Schoolhouse Museum, 106 Trinity Street, Toronto","This schoolhouse, the oldest remaining in Toronto, was built at the expense of Enoch Turner, a wealthy brewer, as a ""free school"" for the Anglican parish of Trinity and adjoining parts of St. Lawrence Ward. An Act of 1847 had made free common schools possible in towns and cities of Canada West, but the municipal council of Toronto had refused to establish them.
Enoch Turner's school was the first free school in the city. In 1851, the Toronto Board of Education took over ""Trinity Street School"" as one of the regular free schools for boys and girls, and it continued as such for more than thirty years. Since then, it has been used as a Sunday school and for community
activities.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.65301559,-79.36145036
"288","Ernest Thompson Seton 1860-1946","Near the Log Cabin Outdoor Education Centre next to the Kawartha Trans Canada Trail, Frost Campus, Fleming College, 200 Albert Street South, Lindsay.","Ernest Evan Thompson, who later adopted his ancestral name of Seton, was born in England and, in 1866, emigrated with his family to a farm near Lindsay. There and in the Toronto region, where he lived 1870-79, he developed a consuming interest in nature. After illustrating a number of other writers' works on natural history, he combined his artistry with knowledge gained from extensive personal observation to produce many books of his own. ""Two Little Savages"" and ""Wild Animals I Have Known"" are probably the publications for which he is best remembered. His writings did much to further popular interest in wildlife and the identification of birds and animals.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Central Ontario","City of Kawartha Lakes (District)","City of Kawartha Lakes",44.3411403,-78.7408014
